"","d_1","d_2","P_11","P_22","sigma","mu_1","mu_2","Neg_lklh","Opt. Converged"
"Vietnam",0.585275363704039,1.99943635183347,0.980067785426701,0.800000191329124,0.0115611689728835,0.00100000605879081,0.932572434683821,-250.190561221384,0
"Mongolia",1.11207318614033,1.93893640004129,0.889133628493143,0.876137909928571,0.0013503216815128,0.00100000607432857,0.086810246738359,-385.007716128795,1
"Russian Federation",0,0.48421091280682,0.988660320944772,0.998999999549778,0.0751132525324655,0,0.0618236694291794,-109.307374457214,0
"Colombia",0.762603275416186,0,0.998948591024937,0.800264368762478,0.00630909211016394,0.00100000132883222,0,-309.087126595129,0
"Panama",0.553613901265799,0,0.998473433739092,0.956834070814605,0.00379011047850486,0.00100000052570392,0,-318.973400174423,0
"Armenia, Republic of",0.615527259349571,1.84720490895239,0.85753504587918,0.880351716912401,0.00100056745376482,0.0010182883842934,0.458518311861354,-523.346709002327,1
"Cambodia",0.492223113871297,0,0.998999876402002,0.800353528039767,0.00141379618026844,0.00100000062653352,0,-466.841907459721,0
"Venezuela, Republica Bolivariana de",0.871773508261388,1.43749668495531,0.988878089823042,0.88089607572427,0.020568366617218,0.00100003744362111,-0.62457975322471,-214.720911314756,0
"Japan",0.588427021552546,0,0.998999994489891,0.800029807724597,0.105061628884323,0.240617460288116,0,-69.8903601447023,0
"South Africa",0.56257778145312,1.12623748227312,0.920623777884755,0.800001932689341,0.00733959123742246,0.00100648177780578,0.226321707022316,-771.32401168856,1
"Philippines",0.509378207781594,1.0598015844995,0.934653925988377,0.800002258689229,0.00623683707765232,0.00100000242367966,-0.0247621175017121,-562.46633901399,0
"Denmark",0.576852577585032,0,0.998999988667558,0.987784175874756,0.0113058093611078,0.00380565667946741,0,-515.973274086144,0
"Papua New Guinea",0.607462029693358,0,0.902214552909633,0.800000146719905,0.00100000001742729,0.00100618641209099,0,-585.660454644327,0
"Thailand",0.817064943269286,0.845239824957774,0.800000042003767,0.971351115250886,0.0154266149771956,0.0723031034767767,0.00100004222215899,-417.735233865693,0
