"","d_1","d_2","P_11","P_22","sigma_1","sigma_2","mu_1","mu_2","Neg_lklh","Opt. Converged"
"Vietnam",0.462196454898425,0,0.998999988941133,0.800053585848116,0.0130030070602473,0,-0.00201906885024487,0,-247.409692884942,0
"Mongolia",0.353893367006004,0.983480482775693,0.956925768718261,0.990534684541966,3.69331561792087,0.00158504871395457,0.0250353435804329,0.0240497368908421,-380.695267598,1
"Russian Federation",0.325885557790766,1.07923890487592,0.985171685083664,0.968922085741343,0.0982963846060094,0.023807392221094,0.134579808634604,0.410716772746369,-135.044233464574,1
"Colombia",0.731853835440619,0,0.998999985618066,0.800006175972513,0.00613850471964869,0,-0.0115920698362765,0,-311.450735587945,0
"Panama",0,0.483028103439054,0.80000008294401,0.952130029803417,0,0.00369983254796271,0,-0.00367033329856112,-316.757769609931,0
"Armenia, Republic of",0.534757338769264,0,0.997268641419431,0.855103735000478,0.00100000005987356,0,-0.000335943378618977,0,-539.277834244287,0
"Cambodia",0.420910843403861,0,0.988028291722842,0.800008557633805,0.00137818594923826,0,-0.00055726240685663,0,-469.016511284232,0
"Venezuela, Republica Bolivariana de",0.876685862224758,1.44215569207369,0.988753004845399,0.881464953345352,0.0204549888502929,0.0216266525551387,-0.000564889892883857,-0.641797209049448,-214.753480307412,1
"Japan",0.588523946035032,0,0.998999999258421,0.983280437804125,0.105143730167879,0,0.240566164117967,0,-69.8372278110332,0
"South Africa",0.498689262520752,0.533041814480794,0.987434044590123,0.974290725548102,0.00369350497467403,0.0132260459270386,0.000252184204687111,-0.0100873815799584,-853.556806767617,0
"Philippines",0.504226708291269,0.621589616804173,0.995407891483139,0.994751520499727,0.0098219633704357,0.00232743055165487,0.00264248700690681,-0.00277366293000438,-613.299828216769,1
"Denmark",0.578002620424403,0,0.998999998584773,0.800129544141648,0.011349924418442,0,0.00344444968597005,0,-516.05029094546,0
"Papua New Guinea",0.572863000464783,0,0.879840880968015,0.838196177990083,0.00100000006233441,0,-0.000349214142010243,0,-583.758617795893,1
"Thailand",0.622665195661683,0.70475768289051,0.965801182353011,0.983460802925369,0.0390018183753182,0.00587881182703322,-0.0357457714169014,-0.00176339912401056,-492.765258063489,1
"Portugal",0.648612872730944,0,0.998999989269717,0.965776213173049,0.0102370296657448,0,-0.00360791427528017,0,-532.811916243509,0
"United Kingdom",0.599853113799789,0.669518308170509,0.99405904331908,0.995157289354555,0.0746939135190058,0.0203230282434371,-0.047102922214495,0.00129777783580674,-361.412231623601,0
"Macedonia, FYR",0.135059623857673,1.9921372801924,0.991866894218538,0.800010723642175,0.00105763857916011,0.00100001856288527,-0.000818741336027978,-0.187812397428867,-454.505550216105,1
"Netherlands",0.689559852608607,0,0.998998924774836,0.800431780055181,0.0224129157767074,0,0.00774601150576446,0,-477.005981722263,0
"Latvia",0.983282728443746,1.0201790103916,0.988038997838125,0.800000235854884,0.00158243494073672,0.0314173062474174,0.0422074450750012,0.0430795580862688,-469.278995326134,0
"Singapore",0.751556026360006,0,0.99899998577335,0.800007845720892,0.0183618490167526,0,0.0438325916330523,0,-228.74878186653,0
"Italy",0.439300652681867,0.551488439143796,0.993668595458876,0.99531749238117,0.0149751366234075,0.0592630186075632,-0.00247480251770394,0.0158768367953685,-347.443876093861,0
"Bahamas, The",0.80869186614057,1.99967047537279,0.979388632754799,0.800001367849598,0.00104120239070133,0.957026569580955,0.0132919373516348,0.0171595700184453,-879.744679412235,0
"France",0.217643844843786,0.699382115932072,0.993445160606683,0.99452512615775,0.0696471753109022,0.0177774058592581,-0.0240274124301958,0.00572806533307535,-337.93478666236,0
"Iceland",0.535973762726543,0.574108163789336,0.974796481856405,0.983163131349676,0.00363856334122434,0.00100000005263925,-0.00315642947685883,-1.74415918019546e-05,-869.908035082853,1
"Ecuador",0.476352109345651,0,0.998999994008582,0.800072348522254,0.00410887876159288,0,-0.000797424419320251,0,-394.314969833683,0
"Mexico",0.672625593745356,1.86910766568316,0.998524060142219,0.800000188180408,0.0162942329104498,0.0385234397496323,-0.0255862913367685,0.133367010521794,-405.301252857216,0
"Germany",0.620611097544826,0.725453675587062,0.993557859172035,0.995179361904797,0.0243017065453338,0.0923420206569162,0.00881069285382753,0.0643937577153677,-258.509073813898,0
"Ukraine",0,0.610814682463323,0.946994306372097,0.998999999256879,0,0.0101174970071668,0,-0.00397539983692908,-294.339901928733,0
"Lesotho",0.951187325481298,1.73764101163545,0.845307457751655,0.887921013730472,0.0010000000390331,0.156945044197204,0.0287190255357226,0.126325616706778,-710.961113109717,1
"Indonesia",0.709749084197604,0,0.998999998403187,0.960580550483948,0.0130594781680462,0,-0.00134753009823398,0,-422.566484782531,0
