"","d_1","d_2","P_11","P_22","sigma_1","sigma_2","mu","Neg_lklh","Opt. Converged"
"Vietnam",0,1.99943635183347,0.980067785426701,0.800000191329124,0,0.00100000605879081,0.932572434683821,-250.190561221384,0
"Mongolia",1.11207318614033,0,0.889133628493143,0.876137909928571,0.0013503216815128,0,0.086810246738359,-385.007716128795,1
"Russian Federation",-0.676804849505088,0.48421091280682,0.988660320944772,0.998999999549778,0.0618236694291794,0.0751132525324655,3.12727377552057,-109.307374457214,0
"Colombia",0.762603275416186,0,0.998948591024937,0.800264368762478,0.00630909211016394,0,0.0539732127200869,-309.087126595129,0
"Panama",0,1.8264227230941,0.998473433739092,0.956834070814605,0,0.00100000052570392,0.442216595097146,-318.973400174423,0
"Armenia, Republic of",0,1.84720490895239,0.85753504587918,0.880351716912401,0,0.0010182883842934,0.458518311861354,-523.346709002327,1
"Cambodia",0,1.94674050812682,0.998999876402002,0.800353528039767,0,0.00100000062653352,0.373915217741119,-466.841907459721,0
"Venezuela, Republica Bolivariana de",0.871773508261388,0,0.988878089823042,0.88089607572427,0.020568366617218,0,-0.62457975322471,-214.720911314756,0
"Japan",0.588427021552546,0,0.998999994489891,0.800029807724597,0.105061628884323,0,0.343227959292193,-69.8903601447023,0
"South Africa",0.56257778145312,1.12623748227312,0.920623777884755,0.800001932689341,0.00733959123742246,0.00100648177780578,0.226321707022316,-771.32401168856,1
"Philippines",0.509378207781594,1.0598015844995,0.934653925988377,0.800002258689229,0.00623683707765232,0.00100000242367966,-0.0247621175017121,-562.46633901399,0
"Denmark",0,1.57266588214676,0.998999988667558,0.987784175874756,0,0.00380565667946741,0.890406326465323,-515.973274086144,0
"Papua New Guinea",0,1.99998759977847,0.902214552909633,0.800000146719905,0,0.00100618641209099,0.64996509751464,-585.660454644327,0
"Thailand",0,0.845239824957774,0.800000042003767,0.971351115250886,0,0.0154266149771956,0.0723031034767767,-417.735233865693,0
"Portugal",0.65039600024341,0,0.998999428062882,0.987830033210867,0.0103031935981673,0,0.415957311803503,-532.627509950088,0
"United Kingdom",0.630603783033059,0,0.998999999982364,0.975623697582494,0.0499956247641403,0,0.886907156357837,-296.805840058059,0
"Macedonia, FYR",0,1.99992468875354,0.866183450445309,0.850271385361228,0,0.00100000059625108,0.977201223010848,-432.346525563085,0
"Netherlands",0,0.951861930591485,0.998999999320181,0.972985455226968,0,0.00717107158570375,1.65468158277643,-476.975310303973,0
"Latvia",1.19719820951581,0,0.887083241593674,0.857568128858767,0.00174725424864187,0,0.0968806265451297,-461.479151825585,0
"Singapore",0.751892631359899,1.89286171184322,0.998999999761708,0.800115466520293,0.0183017982520081,0.0438711235218786,0.479370317003903,-228.749595972662,0
"Italy",0.548677595634019,0,0.99899999539562,0.8000902175301,0.0488528990734485,0,0.627297643192696,-301.317726144651,0
"Bahamas, The",1.18838373683507,0,0.892148275505471,0.934126299898421,0.00109205068178405,0,0.084836992625815,-853.054739145526,1
"France",0.413007782459508,0,0.961867816822588,0.800000096254236,0.0343175313321734,0,-0.138829072432373,-289.101623628169,1
"Iceland",0.980127129410668,0,0.877634123879798,0.939702633084528,0.00182255636821557,0,0.198476261965768,-773.546611276768,0
"Ecuador",0,1.99991483087566,0.948713164863506,0.800022065112299,0,0.00100000648489574,0.493047475486572,-388.819981023246,0
"Mexico",0.689955118453982,0,0.993113849018508,0.952226975715941,0.016397875128499,0,0.707567344714538,-404.653003767234,1
"Germany",0.727359719761183,0,0.998999998464389,0.979254622008913,0.075808081880767,0,0.983492840397968,-213.703826631206,0
"Ukraine",0.656627942074576,0,0.938529404912678,0.800000715875199,0.00875488819874963,0,0.090696428780204,-296.578774858096,0
"Lesotho",0,1.99942310441348,0.888234474498284,0.85495281486896,0,0.00100001166046815,0.34862352365183,-726.366871561547,1
"Indonesia",0.724142376261821,0,0.984475128458886,0.800000096177522,0.0123719607505583,0,0.192483719468758,-421.112070536356,0
"Albania",0,1.92337408186751,0.859391980385406,0.92046122537226,0,0.00100002764373235,0.258107985343534,-474.551258665965,1
"Jordan",0,1.24073807879808,0.904901575684061,0.907701506736053,0,0.00100001095334274,0.0793452362032779,-710.029916018076,1
"Nepal",0,1.36546273510255,0.998999981883895,0.991350422773633,0,0.00100000004293581,0.686003061673949,-852.912402392002,0
"Estonia",0.969289168794959,0,0.932865595927568,0.800005535266721,0.00147543124060708,0,0.115705469898192,-511.984904108204,1
"Slovak Republic",0.525176437856775,1.3250109230779,0.918952089698435,0.800000700477929,0.00505458611451078,0.0010000282517945,0.186727186441695,-358.771937376624,1
"Romania",0.645588811815399,1.47983600747127,0.933810631352549,0.800001516529717,0.00927837032513694,0.00100038032260379,0.518960663675906,-326.173600723068,1
"Sri Lanka",0,1.77192873529466,0.99899999988845,0.800250225035498,0,0.00226230737776666,4.21783308591724,-731.020478250759,0
