"","d_1","d_2","P_11","P_22","sigma","mu","Neg_lklh","Opt. Converged"
"Vietnam",0.551040254615975,1.99970936922229,0.994099176920279,0.800000054226534,0.0115586492515733,-0.00314070756414601,-250.436706087608,0
"Mongolia",1.23097474281063,1.37628801395142,0.964510936947235,0.800000009186174,0.00119557273135748,-0.000427393832512881,-395.285456432709,0
"Russian Federation",0.484748889877805,0,0.998999997370436,0.800018539091271,0.0738124265498356,0.0620448044316177,-109.415430637154,0
"Colombia",0,0.732123642877089,0.800193617147978,0.998999989062467,0.00613094440148504,-0.011473082005096,-311.450966142603,0
"Panama",0.48284017778291,0,0.99899999783768,0.988775666770753,0.00371953241018795,-0.00373036494089029,-320.588124782403,0
"Armenia, Republic of",0.816007106519871,1.95318029411125,0.946777062456838,0.800010716449069,0.00100000006362245,-0.00121510432341377,-532.876686261302,0
"Cambodia",0.383288497048326,0,0.996745639154027,0.858821228366965,0.00135504148124867,-0.00124049130030456,-470.391010661006,1
"Venezuela, Republica Bolivariana de",0.822721324990638,1.55457025066839,0.988884064995225,0.881305296668508,0.0213015274497536,0.0448772317065197,-211.570890826775,0
"Japan",0,0.591570297752316,0.866195399830409,0.998999999625976,0.105329646891128,0.24193705478045,-69.8864273160862,0
"South Africa",0.590072244445403,1.98547431056199,0.944632611015629,0.800000371704204,0.00763310992109241,-0.00176609533538018,-774.336616293304,1
"Philippines",0.540734940552492,1.99562651204085,0.983047636727609,0.800000030293672,0.00690340787584995,-0.00301852710909959,-563.241841154577,0
"Denmark",0.57821437788812,0,0.998999995227852,0.92972855117763,0.0113440829225274,0.00341273435538201,-516.04119267471,0
"Papua New Guinea",0.56425537872868,0,0.915347576301824,0.909328835256716,0.00100000001212836,-2.26804753703598e-05,-587.826466590137,0
"Thailand",0.623791602302106,1.99351962896512,0.991481878858544,0.800000259546248,0.0210008849906216,-0.00360793629658887,-394.885626512436,0
"Portugal",0.649350642344424,0,0.998999799917865,0.958026807868434,0.0102708466719361,-0.00337160830536519,-532.818835403797,0
"United Kingdom",0.626724620660698,0,0.998999996566884,0.800017285685184,0.0500430562049756,-0.0157617851249069,-296.924487159147,0
"Macedonia, FYR",0.214820034887348,0,0.998999995069599,0.982314898493762,0.0011831850859717,-0.000748565946256609,-451.202611710539,0
