"","Model","Conv.","Perc.","d_1","d_2","P_11","P_22","sigma_1","sigma_2","mu_1","mu_2"
"1","(d,mu,sigma)","C",0.541,0.531,-0.153,0.984,0.855,0.01,0.016,0.006,-0.003
"2","(d,mu,sigma)","D",0,NA,NA,NA,NA,NA,NA,NA,NA
"3","(d,mu,sigma)","C - C",0.243,0.695,0.479,0.99,0.986,0.034,0.231,0.011,-0.006
"4","(d,mu,sigma)","C - D",0.189,1.65,0.707,0.862,0.969,0.247,0.012,0.127,0.03
"5","(d,mu,sigma)","D - D",0.027,1.826,1.03,0.866,0.918,0.112,0.001,0.117,0.023
"6","(d,mu)","C",0.554,0.592,NA,0.973,0.875,0.021,NA,0.01,NA
"7","(d,mu)","D",0,NA,NA,NA,NA,NA,NA,NA,NA
"8","(d,mu)","C - C",0.068,0.737,0.567,0.88,0.917,0.018,NA,-0.014,0.037
"9","(d,mu)","C - D",0.297,1.564,0.676,0.852,0.942,0.007,NA,0.298,0.001
"10","(d,mu)","D - D",0.081,1.895,1.137,0.873,0.902,0.002,NA,0.108,0.001
"11","(d,sigma)","C",0.365,0.714,NA,0.982,0.889,0.03,NA,NA,0.358
"12","(d,sigma)","D",0.5,1.734,NA,0.857,0.934,0.001,NA,NA,0.746
"13","(d,sigma)","C - C",0.027,0.586,-0.191,0.955,0.986,0.038,0.035,NA,1.581
"14","(d,sigma)","C - D",0.108,1.448,0.641,0.826,0.951,0.006,0.008,NA,0.326
"15","(d,sigma)","D - D",0,NA,NA,NA,NA,NA,NA,NA,NA
"16","(d)","C",0.486,0.529,-0.153,0.985,0.864,0.016,NA,0.007,NA
"17","(d)","D",0,NA,NA,NA,NA,NA,NA,NA,NA
"18","(d)","C - C",0.081,0.847,0.597,0.859,0.975,0.031,NA,-0.002,NA
"19","(d)","C - D",0.419,1.615,0.645,0.839,0.972,0.011,NA,0.001,NA
"20","(d)","D - D",0.014,1.376,1.231,0.8,0.965,0.001,NA,0,NA
